Sitename:Sedgwick Grass Site
Location: Latitude:   34.6991348 - Longitude: -120.0526886 - Elevation (masl):   367.
Principal investigator: 
Ecosystem type: 
File creation date: 2019-03-28T08:16
Datapolicy:  -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data.
In addition when publishing please acknowledge the agency that supported the research. --
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
YEAR,GAP,DTIME,DOY,HRMIN,UST,TA,WD,WS,NEE,FC,SFC,H,SH,LE,SLE,FG,TS1,TSdepth1,TS2,TSdepth2,PREC,RH,PRESS,CO2,VPD,SWC1,SWC2,Rn,PAR,Rg,Rgdif,PARout,RgOut,Rgl,RglOut,H2O,RE,GPP,CO2top,CO2height,APAR,PARdif,APARpct,ZL
YEAR,GAP,DTIME,DOY,HRMIN,m/s,deg C,deg,m/s,umol/m2/s,umol/m2/s,umol/m2/s,W/m2,W/m2,W/m2,W/m2,W/m2,deg C,cm,deg C,cm,mm,%,kPa,umol/mol,kPa,%,%,W/m2,umol/m2/s,W/m2,W/m2,umol/m2/s,W/m2,W/m2,W/m2,mmol/mol,umol/m2/s,umol/m2/s,umol/mol,m,umol/m2/s,umol/m2/s,%,unitless
 2019,0,83.104150000000004,83,230,0.35134595738592433,10.155233205159504,123.48381224912609,3.2394919340506019,-6999.0000000000000,6.0502435289312118,-9999.0000000000000,-42.277141107847861,-9999.0000000000000,11.520768520341122,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,79.716924166666672,98.066907439236104,411.65094642439499,0.25091784893600516,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,10.053315579049825,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.2779006682056282E-003
 2019,0,83.124979999999994,83,300,0.24403994362072765,9.4402880859375387,120.09763366802540,2.3260969536086313,5.4961798929447534,5.4961798929447534,0.0000000000000000,-38.401435659738716,-0.0000000000000000,2.5697660315140203,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,79.716924166666672,98.067396111111108,414.06697958964952,0.23916651198612987,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.5824368408854994,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6.1750063273321833E-003
 2019,0,83.145809999999997,83,330,0.28685148894688928,9.0667839219835287,131.23716137623643,2.6775726883966753,5.8482781885137731,5.8482781885137731,0.0000000000000000,-45.971427054947135,-0.0000000000000000,6.3635591373335432,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,79.716924166666672,98.070956853298611,415.02698356992221,0.23322236144973976,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,9.3439394495942842,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-4.5519602542800092E-003
 2019,0,83.166640000000001,83,400,0.20592731307374906,8.4862111070420951,115.51352924221874,1.9466688904187508,7.1783288745560823,7.1783288745560823,0.0000000000000000,-37.641255173739061,-0.0000000000000000,-4.2655234749978854,-0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,79.716924166666672,98.106233532986110,417.21412373404439,0.22424113152166911,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.9808804067287529,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.0072180576301203E-002
 2019,0,83.270790000000005,83,630,5.0125545081391630E-002,3.4054460144043333,130.50511470181488,0.71816767527977543,-6999.0000000000000,-5.6232756045679784,-9999.0000000000000,1.6088161948469337,-9999.0000000000000,-9999.0000000000000,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,94.809852083333325,98.098416922743056,408.05809516899677,4.0369151429934733E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.5152749850137255,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.9860502228685224E-002
 2019,0,83.291619999999995,83,700,6.9704950495302509E-002,3.9512954542371972,129.13450115281569,1.3156721227389923,3.6030890973250149,3.6030890973250149,0.0000000000000000,-6.2293499137842465,0.0000000000000000,-31.382285011325013,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,94.809852083333325,98.120062656249999,450.67142123435121,4.1952672231339194E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.8083463116807525,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-4.2985954232117637E-002
 2019,0,83.312449999999998,83,730,7.2922960855108798E-002,5.1676494513617968,126.41277387033990,1.2959395348595619,3.7649976762628721,3.7649976762628721,0.0000000000000000,0.66848468263970273,0.0000000000000000,5.4949486788157635,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,94.809852083333325,98.131290403645835,456.07051917680519,4.5680362959131117E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.5011815454911392,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.0279038389362011E-003
 2019,0,83.333280000000002,83,800,4.7592004921292813E-002,5.9534224955241370,127.99729265263873,0.96342270909356820,1.8249849397021345,1.8249849397021345,-0.0000000000000000,-0.84274909136430343,0.0000000000000000,2.0662169700399589,0.0000000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,94.809852083333325,98.121155546875002,454.63686409774556,4.8241290562366888E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,8.9787011796535321,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.8267049891200125E-002
 2019,0,83.437430000000006,83,1030,8.6961033946551761E-002,3.0705949910482104,125.52166947813802,1.1062766096866985,-6999.0000000000000,8.6474251628101868,-9999.0000000000000,-7.9008207261123022,-9999.0000000000000,12.033264230078116,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,98.067813333333334,98.097948741319442,472.71929843828394,1.4676797708931872E-002,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,7.5915824599698141,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-2.8084332981098060E-002
